gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired
F,POL,Department of Police,MSB Information Mgmt and Tech Division Records Management Section,Fulltime-Regular,Office Services Coordinator,09/22/1986,1986
M,POL,Department of Police,ISB Major Crimes Division Fugitive Section,Fulltime-Regular,Master Police Officer,09/12/1988,1988
F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker IV,11/19/1989,1989
M,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,05/05/2014,2014
M,HCA,Department of Housing and Community Affairs,Affordable Housing Programs,Fulltime-Regular,Planning Specialist III,03/05/2007,2007
M,POL,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,07/16/2007,2007
F,FRS,Fire and Rescue Services,EMS Billing,Fulltime-Regular,Accountant/Auditor II,06/27/2016,2016
M,HHS,Department of Health and Human Services,Head Start,Fulltime-Regular,Administrative Specialist II,11/17/2014,2014
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016
F,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Police Aide,02/05/2007,2007
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Electrician I,01/13/2014,2014
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,04/28/2002,2002
F,HHS,Department of Health and Human Services,STD and HIV Services,Parttime-Regular,Medical Doctor III - Physician,12/01/2003,2003
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008
M,DOT,Department of Transportation,Transportation Management,Fulltime-Regular,Traffic Management Technician I,12/14/2015,2015
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist I,02/22/2016,2016
F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker III,06/26/2006,2006
M,DTS,Department of Technology Services,ERP Technical Support,Fulltime-Regular,Senior Information Technology Specialist,03/07/2005,2005
F,LIB,Department of Public Libraries,Olney Library,Fulltime-Regular,Library Assistant I,01/26/2000,2000
M,LIB,Department of Public Libraries,Long Branch Library,Parttime-Regular,Library Assistant I,11/22/2010,2010
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,06/30/2014,2014
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,03/08/2004,2004
F,HHS,Department of Health and Human Services,Community Support Network for People with Disabilities,Parttime-Regular,Office Clerk,05/04/2010,2010
,REC,Department of Recreation,Neighborhood Senior Centers - Northern,Fulltime-Regular,Recreation Specialist,12/27/2016,2016
M,DGS,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,04/16/2007,2007
M,FIN,Department of Finance,Information Technology,Fulltime-Regular,Manager II,12/12/2005,2005
M,DLC,Department of Liquor Control,Kingsview,Parttime-Regular,Liquor Store Clerk I,03/28/2016,2016
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,03/05/2000,2000
M,POL,Department of Police,MSB Information Management and Technology Division,Fulltime-Regular,Information Technology Technician III,10/20/2014,2014
F,CCL,County Council,Council Central Staff,Fulltime-Regular,Information Technology Specialist III,12/26/2006,2006
M,DLC,Department of Liquor Control,Beer Warehouse Operations,Fulltime-Regular,Supply Technician II,10/10/2007,2007
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Supervisor,01/16/1990,1990
F,POL,Department of Police,MSB Personnel Division,Parttime-Regular,Police Cadet,02/15/2015,2015
M,DLC,Department of Liquor Control,Kensington,Parttime-Regular,Liquor Store Clerk I,06/15/2015,2015
M,POL,Department of Police,ISB Criminal Investigations Division Financial Crimes Section,Fulltime-Regular,Police Officer III,07/21/2003,2003
F,DGS,Department of General Services,Central Duplicating,Fulltime-Regular,Imaging Operator II,09/06/2016,2016
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,07/16/2012,2012
M,CEC,Community Engagement Cluster,Community Partnerships,Fulltime-Regular,Director Office of Community Partnerships,03/19/2007,2007
M,DTS,Department of Technology Services,ETSD Telephone Services,Fulltime-Regular,Telecommunications Technician,10/07/2013,2013
M,DLC,Department of Liquor Control,"Licensure, Regulation and Education",Fulltime-Regular,Alcohol/Tobacco Enforcement Specialist II,11/10/2008,2008
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,02/07/1999,1999
F,POL,Department of Police,MSB Management and Budget Division,Fulltime-Regular,Administrative Specialist III,11/24/2008,2008
M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,10/09/2006,2006
M,DGS,Department of General Services,Facilities,Fulltime-Regular,Office Services Coordinator,12/16/1996,1996
M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,09/29/1997,1997
F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,09/28/2015,2015
F,DPS,Department of Permitting Services,Central Services Unit,Fulltime-Regular,Administrative Specialist II,01/03/1988,1988
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Communications Supervisor,08/05/1996,1996
F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Community Services Aide III,08/03/1992,1992
M,DTS,Department of Technology Services,ETSD Radio Communications Services,Fulltime-Regular,Manager III,07/16/2012,2012
F,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),11/28/2005,2005
F,DLC,Department of Liquor Control,Clarksburg Village,Parttime-Regular,Liquor Store Clerk I,11/09/2012,2012
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,05/27/2014,2014
M,DLC,Department of Liquor Control,Flower Avenue,Parttime-Regular,Liquor Store Clerk I,12/01/2014,2014
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,05/14/2007,2007
F,DLC,Department of Liquor Control,Goshen Crossing,Parttime-Regular,Liquor Store Clerk I,07/28/2013,2013
M,DOT,Department of Transportation,Highway Administration,Fulltime-Regular,Highway Inspector II,04/14/1996,1996
F,HHS,Department of Health and Human Services,Adult Protective Services - Nurse Assessment,Fulltime-Regular,Community Health Nurse II,09/17/2007,2007
F,DLC,Department of Liquor Control,IT Administration,Fulltime-Regular,Information Technology Specialist III,07/18/1999,1999
M,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,10/19/1988,1988
F,HHS,Department of Health and Human Services,Permanent Supportive Housing,Fulltime-Regular,Social Worker II,05/18/1988,1988
F,HHS,Department of Health and Human Services,Home Care Services,Fulltime-Regular,Community Services Aide III,03/14/1994,1994
M,DOT,Department of Transportation,Transportation Technical Center,Fulltime-Regular,Traffic Field Service Technician II,11/26/1979,1979
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,10/30/2006,2006
M,DPS,Department of Permitting Services,Team 1 Residential Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,03/13/1989,1989
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist I,10/17/2016,2016
F,POL,Department of Police,MSB Personnel Division,Fulltime-Regular,Administrative Specialist III,04/10/1989,1989
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer II,07/16/2012,2012
M,DPS,Department of Permitting Services,Team 1 Residential Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,04/18/1988,1988
F,LIB,Department of Public Libraries,Bethesda Library,Parttime-Regular,Library Aide,07/08/2005,2005
M,FIN,Department of Finance,Treasury Operations,Fulltime-Regular,Accountant/Auditor III,04/19/1999,1999
F,COR,Correction and Rehabilitation,DS Health Services,Fulltime-Regular,Correctional Health Nurse II,11/02/2015,2015
F,DEP,Department of Environmental Protection,Management Services,Fulltime-Regular,Administrative Specialist II,01/31/2011,2011
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Administrative Specialist III,03/26/2012,2012
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker II,10/17/2016,2016
M,HHS,Department of Health and Human Services,School Health Services Center,Parttime-Regular,School Health Room Technician I,07/26/2016,2016
F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,03/21/2005,2005
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer II,08/12/2013,2013
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide III,06/12/2006,2006
M,HHS,Department of Health and Human Services,Latino Health Initiative,Fulltime-Regular,Program Specialist II,04/07/2014,2014
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Community Services Aide III,10/30/2006,2006
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,02/11/2008,2008
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,06/23/2008,2008
F,HHS,Department of Health and Human Services,Director's Office,Fulltime-Regular,Director Department of Health and Human Services,02/13/2007,2007
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,07/28/2014,2014
M,HRC,Office of Human Rights,Director's Office,Fulltime-Regular,Office Services Coordinator,10/14/2002,2002
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/01/2011,2011
M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Construction Representative III,12/11/2006,2006
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,03/12/2007,2007
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008
M,DLC,Department of Liquor Control,Potomac,Parttime-Regular,Liquor Store Clerk I,11/16/2015,2015
F,BOA,Board of Appeals Department,Board of Appeals Division,Fulltime-Regular,Office Services Coordinator,11/13/2007,2007
F,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Registered Veterinary Technician,12/01/2014,2014
F,REC,Department of Recreation,Facilities Division,Fulltime-Regular,Recreation Coordinator,06/07/2012,2012
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),02/05/2007,2007
F,DLC,Department of Liquor Control,Muddy Branch,Parttime-Regular,Liquor Store Clerk I,04/23/2012,2012
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer II (PFC),06/01/2004,2004
F,DLC,Department of Liquor Control,Walnut Hill,Parttime-Regular,Liquor Store Clerk I,05/20/2012,2012
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,03/26/2007,2007
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Principal Administrative Aide,05/21/2012,2012
M,POL,Department of Police,MSB Information Management and Technology Division Data Systems Section,Fulltime-Regular,Information Technology Technician III,11/30/2015,2015
M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist I,02/22/2016,2016
M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Construction Representative III,08/22/2005,2005
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),11/29/2004,2004
M,DTS,Department of Technology Services,EASD Web and Mobile Applications,Fulltime-Regular,Information Technology Specialist II,05/15/2006,2006
M,LIB,Department of Public Libraries,Materials Delivery,Fulltime-Regular,Driver/Clerk,09/29/2008,2008
M,FRS,Fire and Rescue Services,Station 30,Fulltime-Regular,Firefighter/Rescuer III,05/08/2011,2011
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,05/20/2013,2013
F,DOT,Department of Transportation,Parking Management Financial Management,Fulltime-Regular,Fiscal Assistant,11/05/2001,2001
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,03/03/2008,2008
F,HHS,Department of Health and Human Services,Tuberculosis Program,Fulltime-Regular,Community Health Nurse II,01/23/2008,2008
M,LIB,Department of Public Libraries,Long Branch Library,Fulltime-Regular,Library Assistant Supervisor,09/24/1990,1990
F,DLC,Department of Liquor Control,Milestone,Fulltime-Regular,Liquor Store Assistant Manager,10/08/2002,2002
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,10/29/2000,2000
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,04/04/2016,2016
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,10/02/2000,2000
F,LIB,Department of Public Libraries,Damascus Library,Fulltime-Regular,Librarian II,05/01/1989,1989
M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,03/19/2001,2001
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,08/20/2007,2007
M,COR,Correction and Rehabilitation,DS MCDC Inmate Property,Fulltime-Regular,Correctional Officer III (Corporal),08/06/2007,2007
M,REC,Department of Recreation,Office of the Director,Fulltime-Regular,Director Department of Recreation,01/30/2007,2007
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist III,03/28/1999,1999
M,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,03/03/2003,2003
M,DTS,Department of Technology Services,Media Services,Fulltime-Regular,Information Technology Specialist III,02/08/2016,2016
F,DLC,Department of Liquor Control,Seneca Meadows,Parttime-Regular,Liquor Store Clerk I,08/25/2013,2013
F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,09/29/2014,2014
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Program Specialist II,11/14/2005,2005
M,FRS,Fire and Rescue Services,Station 9,Fulltime-Regular,Fire/Rescue Captain,02/26/1990,1990
M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Sergeant,08/19/1996,1996
M,HCA,Department of Housing and Community Affairs,Housing Code Enforcement,Fulltime-Regular,Housing Code Inspector II,09/08/1997,1997
M,HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist I,02/08/2016,2016
M,FRS,Fire and Rescue Services,Station 35,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
M,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Senior Architect,04/17/2006,2006
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,11/26/2007,2007
M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,07/17/2006,2006
F,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Master Police Officer,02/06/1995,1995
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/06/2012,2012
F,POL,Department of Police,ISB Major Crimes Division Victim Witness Assistance Section,Fulltime-Regular,Program Manager II,12/01/1998,1998
M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver Helper/Warehouse Worker,08/15/1988,1988
M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer II (PFC),06/02/2014,2014
M,COR,Correction and Rehabilitation,PRRS Assessment and Quality Services,Fulltime-Regular,Correctional Specialist V,08/26/1996,1996
M,FRS,Fire and Rescue Services,Station 2,Fulltime-Regular,Firefighter/Rescuer III,03/17/2008,2008
F,HHS,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Community Services Aide III,03/30/2009,2009
M,HHS,Department of Health and Human Services,Environmental Health and Regulatory Services,Fulltime-Regular,Environmental Health Specialist III,05/03/2004,2004
F,LIB,Department of Public Libraries,Germantown Library,Parttime-Regular,Library Assistant I,02/23/1994,1994
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,07/18/2011,2011
F,HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Supervisory Therapist,05/10/2010,2010
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,06/23/2003,2003
M,DTS,Department of Technology Services,ESOD Core Services,Fulltime-Regular,Senior Information Technology Specialist,08/10/1992,1992
F,HHS,Department of Health and Human Services,Early Childhood Services,Fulltime-Regular,Program Specialist II,07/01/2013,2013
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,03/02/2015,2015
M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Master Firefighter/Rescuer,01/30/2006,2006
M,DPS,Department of Permitting Services,"Team 4 Commercial Electrical, Mechanical and Fire Protection Systems",Fulltime-Regular,Permitting and Code Enforcement Inspector III,07/18/2005,2005
M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),06/01/1997,1997
M,DTS,Department of Technology Services,ESOD Public Safety Data Support,Fulltime-Regular,Senior Information Technology Specialist,02/23/2004,2004
F,LIB,Department of Public Libraries,Rockville Library,Fulltime-Regular,Library Associate II,11/30/1992,1992
M,FRS,Fire and Rescue Services,Station 12,Fulltime-Regular,Fire/Rescue Captain,09/11/2000,2000
M,FRS,Fire and Rescue Services,Station 9,Fulltime-Regular,Firefighter/Rescuer III,03/17/2008,2008
M,DLC,Department of Liquor Control,Stock Liquor and Wine Warehouse Operations,Fulltime-Regular,Senior Supply Technician,06/22/1993,1993
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,07/30/2013,2013
F,HHS,Department of Health and Human Services,Behavioral Health Planning and Management,Fulltime-Regular,Program Manager I,02/22/2005,2005
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,01/04/2016,2016
F,DEP,Department of Environmental Protection,Field Services,Fulltime-Regular,Environmental Health Specialist III,03/19/2007,2007
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker III,07/07/1996,1996
M,DPS,Department of Permitting Services,Land Development Permit Processing,Parttime-Regular,Office Clerk,08/22/2016,2016
M,POL,Department of Police,PSB 5th District Patrol,Fulltime-Regular,Police Officer I,02/09/2015,2015
M,FRS,Fire and Rescue Services,Station 15,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
F,HCA,Department of Housing and Community Affairs,Housing,Fulltime-Regular,Office Services Coordinator,06/27/1988,1988
M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer III,07/19/2004,2004
M,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Traffic Enforcement Field Service Technician II,04/16/2001,2001
M,SHF,Sheriff's Office,Evictions,Fulltime-Regular,Deputy Sheriff III,07/19/2004,2004
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer I (Private),08/26/2013,2013
M,CEX,Offices of the County Executive,Planning Implementation,Fulltime-Regular,Senior Planning Specialist,06/11/2007,2007
M,DGS,Department of General Services,ADA Compliance,Fulltime-Regular,Program Specialist II,12/29/2003,2003
F,LIB,Department of Public Libraries,Rockville Library,Fulltime-Regular,Librarian II,01/14/2013,2013
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist II,06/20/1994,1994
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer I,08/12/2013,2013
F,HHS,Department of Health and Human Services,Chief Office of Community Affairs,Parttime-Regular,Planning Specialist III,07/30/2012,2012
F,HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist I,08/24/2015,2015
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,02/19/2008,2008
M,CEC,Community Engagement Cluster,Community Partnerships,Fulltime-Regular,Community Outreach Manager,04/06/2014,2014
F,HHS,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Office Services Coordinator,08/13/2012,2012
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,07/19/2004,2004
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,10/31/1988,1988
M,HRC,Office of Human Rights,Compliance,Fulltime-Regular,Investigator III,11/20/2000,2000
F,POL,Department of Police,MSB Information Mgmt and Tech Division Warrant Control Section,Fulltime-Regular,Office Services Coordinator,09/15/1997,1997
